"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.TA","log2fold_change","Auc"
"12","Dmbt1","hurdle",0,1.255925,2.893874,1.637949,0.747
"29","Lgals2","hurdle",4.50952386858876e-183,4.486974,5.185784,0.69881,0.714
"35","Pycard","hurdle",1.78851683451608e-157,3.026464,3.684002,0.657538,0.685
"34","Phgr1","hurdle",9.80482446148069e-151,2.507717,3.017996,0.510279,0.666
"1","Abhd11os","hurdle",2.44399263554964e-108,1.062754,1.574867,0.512113,0.638
"9","Cdk2ap2","hurdle",1.57140065957302e-114,0.8049378,1.543941,0.7390032,0.636
"39","Sfn","hurdle",2.21400284155403e-101,0.1205295,0.8709528,0.7504233,0.626
"11","Cmbl","hurdle",4.46558488982616e-91,-0.5042886,0.2700597,0.7743483,0.618
"5","Blvrb","hurdle",8.12074834280539e-70,-0.006956072,0.569588712,0.576544784,0.609
"3","B4galnt1","hurdle",3.50004380719245e-69,0.3364078,0.8844222,0.5480144,0.608
"16","Fgfbp1","hurdle",7.05498670037338e-76,-0.1969923,0.536261,0.7332533,0.607
"26","Kcnn4","hurdle",2.49971758305962e-69,-0.07000814,0.54662974,0.61663788,0.606
"15","Fam195a","hurdle",3.20994153741816e-62,0.02903383,0.58978354,0.56074971,0.602
"10","Cluh","hurdle",4.99498045607693e-69,-0.191275,0.4828375,0.6741125,0.6
"7","Ccl28","hurdle",1.17571562311663e-58,-0.3308439,0.2340728,0.5649167,0.598
"36","Rbp7","hurdle",1.35046891911573e-106,-1.8819418,-0.6787965,1.2031453,0.593
"40","Slc39a5","hurdle",2.96087978059365e-50,-0.387245,0.1259333,0.5131783,0.59
"4","Birc5","hurdle",3.1692970538025e-47,1.101531,1.617983,0.516452,0.59
"17","Gjb1","hurdle",1.71108203411339e-58,-0.9939017,-0.3272196,0.6666821,0.589
"2","Acp5","hurdle",1.13038458822945e-47,-0.47145046,0.04983488,0.52128534,0.587
"31","Nomo1","hurdle",4.50290147036209e-46,-0.53271845,0.04223404,0.57495249,0.579
"37","S100a16","hurdle",1.27169754667115e-37,-0.7653234,-0.2447995,0.5205239,0.573
"32","Nrarp","hurdle",4.10375830818747e-53,-1.6491668,-0.8874045,0.7617623,0.572
"38","Sema4g","hurdle",2.39582928579935e-32,-0.8828367,-0.3632601,0.5195766,0.565
"42","Sult1d1","hurdle",3.84937270151724e-34,-1.2829092,-0.7541709,0.5287383,0.564
"18","Gjb3","hurdle",2.22419134338485e-70,-2.500607,-1.5898,0.910807,0.563
"20","Gm3336","hurdle",4.27092526512474e-49,-1.912255,-1.262793,0.649462,0.56
"25","Itpka","hurdle",1.96740483072705e-32,-1.938285,-1.35243,0.585855,0.552
"14","Fam101b","hurdle",1.72747873451824e-30,-1.7044,-1.119507,0.584893,0.552
"6","Camk1d","hurdle",4.47804743589603e-25,-1.722663,-1.211568,0.511095,0.548
"43","Sycn","hurdle",1.71225138779019e-28,-1.825184,-1.21017,0.615014,0.546
"41","Slco2b1","hurdle",3.40920323442091e-34,-2.362032,-1.716983,0.645049,0.545
"33","Paqr4","hurdle",5.09558339564251e-22,-1.896753,-1.386745,0.510008,0.541
"27","L1cam","hurdle",2.5469985023401e-30,-2.338731,-1.709067,0.629664,0.541
"30","Lipg","hurdle",1.3868582080629e-34,-2.546583,-1.898614,0.647969,0.54
"21","Gp1bb","hurdle",1.0275495311726e-22,-2.044426,-1.513711,0.530715,0.54
"28","Ldlr","hurdle",4.37332975844746e-22,-2.02861,-1.494874,0.533736,0.539
"13","E2f2","hurdle",1.67100082688543e-25,-2.271696,-1.71302,0.558676,0.539
"23","Gsdmc4","hurdle",7.53088739532329e-28,-2.653023,-2.020671,0.632352,0.53
"19","Gm21887","hurdle",1.06077484591779e-29,-3.002973,-2.471251,0.531722,0.526
"22","Gsdmc2","hurdle",1.7573850448224e-25,-2.901333,-2.286157,0.615176,0.524
"8","Ccl5","hurdle",0.00524164562227824,-3.015619,-1.942024,1.073595,0.503
"24","Gzma","hurdle",0.0150268674506705,-3.084197,-2.07559,1.008607,0.501
